Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
27-Jul-2021,Surfing Shortboard Men - Olympic Games 2021,1,G,"Italo Ferreira (BRA, 06 May 1994)",Brazil,,27-082,15.14
27-Jul-2021,Surfing Shortboard Men - Olympic Games 2021,4,,"Gabriel Medina (BRA, 22 Dec 1993)",Brazil,,27-217,11.77
27-Jul-2021,Surfing Shortboard Women - Olympic Games 2021,5,,"Silvana Lima (BRA, 29 Oct 1984)",Brazil,,36-271,8.30
27-Jul-2021,Surfing Shortboard Women - Olympic Games 2021,9,,"Tatiana Weston-Webb (BRA, 09 May 1996)",Brazil,,25-079,9.00
27-Jul-2021,Swimming 100m Backstroke Men - Olympic Games 2021,15,,"Guilherme Guido (BRA, 12 Feb 1987)",Brazil,,34-165,53.80
27-Jul-2021,Swimming 100m Backstroke Men - Olympic Games 2021,20,,"Guilherme Basseto (BRA, 12 Mar 1997)",Brazil,,24-137,53.84
27-Jul-2021,Swimming 200m Freestyle Men - Olympic Games 2021,3,B,"Fernando Scheffer (BRA, 06 Apr 1998)",Brazil,,23-112,1:44.66
27-Jul-2021,Swimming 200m Freestyle Men - Olympic Games 2021,24,,"Murilo Sartori (BRA, 18 May 2002)",Brazil,,19-070,1:47.11
27-Jul-2021,Triathlon Olympic Distance Women - Olympic Games 2021,28,,"Vittoria Lopes (BRA, 15 Mar 1996)",Brazil,,25-134,2:03:09
27-Jul-2021,Triathlon Olympic Distance Women - Olympic Games 2021,32,,"Luisa Baptista (BRA, 15 Jun 1994)",Brazil,,27-042,2:05:32
26-Jul-2021,Fencing Individual Foil Men - Olympic Games 2021,22,,"Guilherme Toldo (BRA, 01 Sep 1992)",Brazil,,28-328,
26-Jul-2021,Gymnastics - Artistic Team Men - Olympic Games 2021,9,,Brazil,Brazil,,26-250,247.263
26-Jul-2021,Judo 73kg Men - Olympic Games 2021,32,,"Eduardo Barbosa (BRA, 16 Nov 1991)",Brazil,,29-252,
26-Jul-2021,Mountain Bike Cross Country Men - Olympic Games 2021,13,,"Henrique Avancini (BRA, 30 Mar 1989)",Brazil,,32-118,1:28:09
26-Jul-2021,Mountain Bike Cross Country Men - Olympic Games 2021,27,,"Luiz Cocuzzi (BRA, 02 Aug 1993)",Brazil,,27-358,1:32:21
26-Jul-2021,Skateboarding Street Women - Olympic Games 2021,2,S,"Rayssa Leal (BRA, 04 Jan 2008)",Brazil,,13-203,14.64
26-Jul-2021,Skateboarding Street Women - Olympic Games 2021,9,,"Leticia Bufoni (BRA, 13 Apr 1993)",Brazil,,28-104,10.91
26-Jul-2021,Skateboarding Street Women - Olympic Games 2021,10,,"Pâmela Rosa (BRA, 19 Jul 1999)",Brazil,,22-007,10.06
26-Jul-2021,Swimming 4 x 100m Freestyle Relay Men - Olympic Games 2021,8,,Brazil,Brazil,,25-239,3:13.41
26-Jul-2021,Swimming 100m Breaststroke Men - Olympic Games 2021,12,,"Felipe Lima (BRA, 05 Apr 1985)",Brazil,,36-112,59.80
26-Jul-2021,Swimming 100m Breaststroke Men - Olympic Games 2021,34,,"Caio Pumputis (BRA, 08 Jan 1999)",Brazil,,22-199,1:00.76
26-Jul-2021,Taekwondo Welterweight 57-67kg Women - Olympic Games 2021,5,,"Milena Titoneli Guimaraes (BRA, 06 Aug 1998)",Brazil,,22-354,
26-Jul-2021,Taekwondo Welterweight 68-80kg Men - Olympic Games 2021,11,,"Icaro Miguel Martins Soares (BRA, 29 Apr 1995)",Brazil,,26-088,
26-Jul-2021,Triathlon Olympic Distance Men - Olympic Games 2021,28,,"Manoel Messias (BRA, 19 Nov 1996)",Brazil,,24-249,1:48:11
25-Jul-2021,Judo 52kg Women - Olympic Games 2021,9,,"Larissa Pimenta (BRA, 01 Mar 1999)",Brazil,,22-146,
25-Jul-2021,Judo 66kg Men - Olympic Games 2021,3,B,"Daniel Cargnin (BRA, 20 Dec 1997)",Brazil,,23-217,
25-Jul-2021,Skateboarding Street Men - Olympic Games 2021,2,S,"Kelvin Hoefler (BRA, 10 Feb 1994)",Brazil,,27-165,36.15
25-Jul-2021,Skateboarding Street Men - Olympic Games 2021,12,,"Giovanni Vianna (BRA, 26 Jan 2001)",Brazil,,20-180,28.15
25-Jul-2021,Skateboarding Street Men - Olympic Games 2021,14,,"Felipe Gustavo (BRA, 22 Feb 1991)",Brazil,,30-153,24.75
25-Jul-2021,Swimming 4 x 100m Freestyle Relay Women - Olympic Games 2021,12,,Brazil,Brazil,,23-292,3:39.19
25-Jul-2021,Swimming 400m Freestyle Men - Olympic Games 2021,11,,"Guilherme Costa (BRA, 01 Oct 1998)",Brazil,,22-297,3:45.99
25-Jul-2021,Taekwondo Featherweight 58-68kg Men - Olympic Games 2021,12,,"Edival Pontes (BRA, 11 Oct 1997)",Brazil,,23-287,
24-Jul-2021,Archery Team Mixed - Olympic Games 2021,20,,Brazil,Brazil,,25-184,1287
24-Jul-2021,Fencing Individual Epee Women - Olympic Games 2021,18,,"Nathalie Moellhausen (BRA, 01 Dec 1985)",Brazil,,35-235,
24-Jul-2021,Judo 48kg Women - Olympic Games 2021,9,,"Gabriela Chibana (BRA, 07 Aug 1993)",Brazil,,27-351,
24-Jul-2021,Judo 60kg Men - Olympic Games 2021,9,,"Eric Takabatake (BRA, 09 Jan 1991)",Brazil,,30-196,
24-Jul-2021,Shooting 10m Air Pistol Men - Olympic Games 2021,32,,"Felipe Wu (BRA, 11 Jun 1992)",Brazil,,29-043,566
24-Jul-2021,Weightlifting 49kg Women - Olympic Games 2021,9,,"Natascha Rosa (BRA, 16 Jan 1996)",Brazil,,25-189,173
21-Aug-2016,Athletics Marathon Men - Olympic Games 2016,15,,"Paulo Roberto Paula (BRA, 08 Jul 1979)",Brazil,,37-044,2:13:56
21-Aug-2016,Athletics Marathon Men - Olympic Games 2016,59,,"Marilson dos Santos (BRA, 06 Aug 1977)",Brazil,,39-015,2:19:09
21-Aug-2016,Athletics Marathon Men - Olympic Games 2016,77,,"Solonei da Silva (BRA, 18 Apr 1982)",Brazil,,34-125,2:22:05
21-Aug-2016,Basketball Team Men - Olympic Games 2016,9,,Brazil,Brazil,,30-010,
21-Aug-2016,Boxing Flyweight Men - Olympic Games 2016,17,,"Julião Henriques Neto (BRA, 16 Aug 1981)",Brazil,,35-005,
21-Aug-2016,Boxing Middleweight Women - Olympic Games 2016,5,,"Andreia Bandeira (BRA, 03 May 1987)",Brazil,,29-110,
21-Aug-2016,Gymnastics - Rhythmic Group All-Around Women - Olympic Games 2016,9,,Brazil,Brazil,,20-346,32.649
21-Aug-2016,Handball Team Men - Olympic Games 2016,7,,Brazil,Brazil,,27-129,
21-Aug-2016,Mountain Bike Cross Country Men - Olympic Games 2016,23,,"Henrique Avancini (BRA, 30 Mar 1989)",Brazil,,27-144,1:41:18
21-Aug-2016,Mountain Bike Cross Country Men - Olympic Games 2016,30,,"Valeriano Rubens Donizeti (BRA, 14 Aug 1979)",Brazil,,37-007,1:44:01
21-Aug-2016,Volleyball Team Men - Olympic Games 2016,1,G,Brazil,Brazil,,30-253,
21-Aug-2016,Volleyball Team Women - Olympic Games 2016,5,,Brazil,Brazil,,30-261,
20-Aug-2016,Athletics 4 x 400m Relay Men - Olympic Games 2016,8,,Brazil,Brazil,,25-130,3:03.28
20-Aug-2016,Athletics 4 x 400m Relay Women - Olympic Games 2016,15,,Brazil,Brazil,,29-206,3:30.27
20-Aug-2016,Athletics 800m Women - Olympic Games 2016,52,,"Flavia De Lima (BRA, 01 Jul 1993)",Brazil,,23-050,2:03.78
20-Aug-2016,Athletics 1500m Men - Olympic Games 2016,30,,"Thiago Andrè (BRA, 04 Aug 1995)",Brazil,,21-016,3:44.42
20-Aug-2016,Athletics Javelin Throw Men - Olympic Games 2016,16,,"Júlio César de Oliveira (BRA, 04 Feb 1986)",Brazil,,30-198,80.49
20-Aug-2016,Badminton Singles Men - Olympic Games 2016,27,,"Ygor Oliveira (BRA, 24 Nov 1996)",Brazil,,19-270,
20-Aug-2016,Basketball Team Women - Olympic Games 2016,11,,Brazil,Brazil,,29-318,
20-Aug-2016,Canoe Sprint C2 1000m Men - Olympic Games 2016,2,S,Souza / Queiroz Dos Santos,Brazil,,23-328,3:44.819
20-Aug-2016,Canoe Sprint K1 200m Men - Olympic Games 2016,20,,"Edson Silva (BRA, 25 Mar 1982)",Brazil,,34-148,35.665
20-Aug-2016,Diving 10m Platform Men - Olympic Games 2016,16,,"Hugo Parisi (BRA, 01 Aug 1984)",Brazil,,32-019,417.15
20-Aug-2016,Football Team Men - Olympic Games 2016,1,G,Brazil,Brazil,,22-311,
20-Aug-2016,Golf Individual Women - Olympic Games 2016,52,,"Miriam Nagl (BRA, 22 Jan 1981)",Brazil,,35-211,14
20-Aug-2016,Golf Individual Women - Olympic Games 2016,53,,"Victoria Lovelady (BRA, 29 Nov 1986)",Brazil,,29-265,16
20-Aug-2016,Gymnastics - Rhythmic Individual All-Around Women - Olympic Games 2016,23,,"Natália Gaudio (BRA, 18 Dec 1992)",Brazil,,23-246,65.532
20-Aug-2016,Handball Team Women - Olympic Games 2016,5,,Brazil,Brazil,,29-298,
20-Aug-2016,Modern Pentathlon Individual Men - Olympic Games 2016,31,,"Felipe Nascimento (BRA, 05 Jul 1993)",Brazil,,23-046,1295
20-Aug-2016,Mountain Bike Cross Country Women - Olympic Games 2016,20,,"Raiza Goulão Henrique (BRA, 28 Feb 1991)",Brazil,,25-174,1:39:21
20-Aug-2016,Taekwondo Heavyweight +80kg Men - Olympic Games 2016,3,B,"Maicon De Andrade Siqueira (BRA, 09 Jan 1993)",Brazil,,23-224,
20-Aug-2016,Triathlon Olympic Distance Women - Olympic Games 2016,40,,"Pâmella Oliveira (BRA, 06 Oct 1987)",Brazil,,28-319,2:04:03
20-Aug-2016,Water Polo Team Men - Olympic Games 2016,8,,Brazil,Brazil,,28-255,
19-Aug-2016,Artistic Swimming Team Women - Olympic Games 2016,6,,Brazil,Brazil,,24-274,171.998
19-Aug-2016,Athletics 4 x 100m Relay Men - Olympic Games 2016,6,,Brazil,Brazil,,23-349,38.41
19-Aug-2016,Athletics 4 x 100m Relay Women - Olympic Games 2016,DSQ,,Brazil,Brazil,,,
19-Aug-2016,Athletics 20km Walk Women - Olympic Games 2016,7,,"Erica de Sena (BRA, 03 May 1985)",Brazil,,31-108,1:29:29
19-Aug-2016,Athletics 20km Walk Women - Olympic Games 2016,49,,"Cisiane Lopes (BRA, 17 Feb 1983)",Brazil,,33-184,1:38:35
19-Aug-2016,Athletics 50km Walk Men - Olympic Games 2016,9,,"Caio Bonfim (BRA, 19 Mar 1991)",Brazil,,25-153,3:47:02
19-Aug-2016,Athletics 50km Walk Men - Olympic Games 2016,29,,"Jonathan Riekmann (BRA, 20 Aug 1987)",Brazil,,28-365,4:01:52
19-Aug-2016,Athletics 50km Walk Men - Olympic Games 2016,DNF,,"Mário Dos Santos (BRA, 10 Sep 1979)",Brazil,,36-344,
19-Aug-2016,Athletics Hammer Throw Men - Olympic Games 2016,12,,"Wagner Domingos (BRA, 26 Mar 1983)",Brazil,,33-146,72.28
19-Aug-2016,Athletics Pole Vault Women - Olympic Games 2016,29,,"Joana Costa (BRA, 15 May 1981)",Brazil,,35-096,4.15
19-Aug-2016,Athletics Pole Vault Women - Olympic Games 2016,NoM,,"Fabiana Murer (BRA, 16 Mar 1981)",Brazil,,35-156,
19-Aug-2016,Badminton Singles Women - Olympic Games 2016,27,,"Lohaynny Vicente (BRA, 02 May 1996)",Brazil,,20-109,
19-Aug-2016,Beach Volleyball Team Men - Olympic Games 2016,1,G,Alison / Bruno,Brazil,,30-104,
19-Aug-2016,Beach Volleyball Team Men - Olympic Games 2016,9,,Pedro / Evandro,Brazil,,28-090,
19-Aug-2016,BMX Racing Individual Men - Olympic Games 2016,29,,"Renato Rezende (BRA, 28 Feb 1991)",Brazil,,25-173,
19-Aug-2016,BMX Racing Individual Women - Olympic Games 2016,16,,"Priscilla Stevaux Carnaval (BRA, 02 Dec 1993)",Brazil,,22-261,
19-Aug-2016,Boxing Lightweight Women - Olympic Games 2016,9,,"Adriana Araujo (BRA, 04 Nov 1981)",Brazil,,34-289,
19-Aug-2016,Equestrian - Jumping Individual Open - Olympic Games 2016,9,,de Miranda (Cornetto K),Brazil,,43-196,4.0
19-Aug-2016,Equestrian - Jumping Individual Open - Olympic Games 2016,16,,Veniss (Quabri De L’Isle),Brazil,,33-226,5.0
19-Aug-2016,Equestrian - Jumping Individual Open - Olympic Games 2016,28,,Menezes (H5 Quintol),Brazil,,36-110,8.0
19-Aug-2016,Equestrian - Jumping Individual Open - Olympic Games 2016,60,,De Freitas Barcha (Landpeter Do Feroleto),Brazil,,26-297,0.0
19-Aug-2016,Football Team Women - Olympic Games 2016,4,,Brazil,Brazil,,27-218,
19-Aug-2016,Modern Pentathlon Individual Women - Olympic Games 2016,22,,"Yane Marques (BRA, 07 Jan 1984)",Brazil,,32-225,1269
19-Aug-2016,Water Polo Team Women - Olympic Games 2016,8,,Brazil,Brazil,,27-098,
18-Aug-2016,Athletics 200m Men - Olympic Games 2016,34,,"Jorge Henrique Vides (BRA, 24 Nov 1992)",Brazil,,23-268,20.50
18-Aug-2016,Athletics 200m Men - Olympic Games 2016,43,,"Bruno De Barros (BRA, 07 Jan 1987)",Brazil,,29-224,20.59
18-Aug-2016,Athletics 200m Men - Olympic Games 2016,61,,"Aldemir Júnior (BRA, 08 Jun 1992)",Brazil,,24-071,20.80
18-Aug-2016,Athletics 400m Hurdles Men - Olympic Games 2016,22,,"Mahau Suguimati (BRA, 13 Nov 1984)",Brazil,,31-279,49.77
18-Aug-2016,Athletics 400m Hurdles Men - Olympic Games 2016,39,,"Marcio Teles (BRA, 27 Jan 1994)",Brazil,,22-204,50.41
18-Aug-2016,Athletics Decathlon Men - Olympic Games 2016,10,,"Luiz Alberto de Araújo (BRA, 27 Jun 1987)",Brazil,,29-052,8315
18-Aug-2016,Athletics Shot Put Men - Olympic Games 2016,5,,"Darlan Romani (BRA, 09 Apr 1991)",Brazil,,25-131,21.02
18-Aug-2016,Beach Volleyball Team Women - Olympic Games 2016,2,S,Agatha / Barbara,Brazil,,31-037,
18-Aug-2016,Beach Volleyball Team Women - Olympic Games 2016,4,,Larissa / Talita,Brazil,,34-058,
18-Aug-2016,Boxing Light Heavyweight Men - Olympic Games 2016,5,,"Michel Borges (BRA, 16 Jun 1991)",Brazil,,25-063,
18-Aug-2016,Canoe Sprint K1 500m Women - Olympic Games 2016,23,,"Ana Paula Vergutz (BRA, 20 Apr 1989)",Brazil,,27-120,2:00.680
18-Aug-2016,Diving 10m Platform Women - Olympic Games 2016,22,,"Ingrid Oliveira (BRA, 07 May 1996)",Brazil,,20-103,281.90
18-Aug-2016,Hockey Team Men - Olympic Games 2016,12,,Brazil,Brazil,,26-104,
18-Aug-2016,Sailing 49er FX Women - Olympic Games 2016,1,G,Grael / Kunze,Brazil,,25-174,48
18-Aug-2016,Sailing 49er Men - Olympic Games 2016,11,,Grael / Borges,Brazil,,25-306,109
18-Aug-2016,Sailing 470 Men - Olympic Games 2016,23,,Bethlem / Haddad,Brazil,,35-009,167
18-Aug-2016,Sailing 470 Women - Olympic Games 2016,8,,Oliveira Horn / Barbachan,Brazil,,31-123,76
18-Aug-2016,Taekwondo Featherweight 49-57kg Women - Olympic Games 2016,11,,"Julia Vasconcelos Dos Santos (BRA, 15 Jun 1992)",Brazil,,24-064,
18-Aug-2016,Triathlon Olympic Distance Men - Olympic Games 2016,41,,"Diogo Sclebin (BRA, 06 May 1982)",Brazil,,34-104,1:52:32
17-Aug-2016,Athletics 100m Hurdles Women - Olympic Games 2016,30,,"Maíla Machado (BRA, 22 Jan 1981)",Brazil,,35-208,13.09
17-Aug-2016,Athletics 100m Hurdles Women - Olympic Games 2016,35,,"Fabiana Morães (BRA, 05 Jun 1986)",Brazil,,30-073,13.22
17-Aug-2016,Athletics 200m Women - Olympic Games 2016,34,,"Kauiza Venâncio (BRA, 11 Jun 1987)",Brazil,,29-067,23.06
17-Aug-2016,Athletics 200m Women - Olympic Games 2016,47,,"Vitoria Cristina Rosa (BRA, 12 Jan 1996)",Brazil,,20-218,23.35
17-Aug-2016,Athletics 3000m Steeplechase Men - Olympic Games 2016,9,,"Altobeli da Silva (BRA, 03 Dec 1990)",Brazil,,25-258,8:26.30
17-Aug-2016,Athletics Long Jump Women - Olympic Games 2016,23,,"Eliane Martins (BRA, 26 May 1986)",Brazil,,30-083,6.33
17-Aug-2016,Athletics Long Jump Women - Olympic Games 2016,38,,"Keila Costa (BRA, 06 Feb 1983)",Brazil,,33-193,5.86
17-Aug-2016,Equestrian - Jumping Team Open - Olympic Games 2016,5,,Brazil,Brazil,,35-022,13.00
17-Aug-2016,Table Tennis Team Men - Olympic Games 2016,9,,Brazil,Brazil,,27-173,
17-Aug-2016,Taekwondo Flyweight -49kg Women - Olympic Games 2016,9,,"Iris Tang Sing (BRA, 21 Aug 1990)",Brazil,,25-362,
17-Aug-2016,Taekwondo Flyweight -58kg Men - Olympic Games 2016,9,,"Venilton Torres Teixeira (BRA, 06 Sep 1995)",Brazil,,20-346,
16-Aug-2016,Artistic Swimming Duet Women - Olympic Games 2016,13,,Miccuci / Borges,Brazil,,20-277,167.334
16-Aug-2016,Athletics 110m Hurdles Men - Olympic Games 2016,22,,"João Vitor De Oliveira (POR, 15 May 1992)",Brazil,,24-093,13.85
16-Aug-2016,Athletics 110m Hurdles Men - Olympic Games 2016,24,,"Éder Souza (BRA, 15 Oct 1986)",Brazil,,29-306,
16-Aug-2016,Athletics Discus Throw Women - Olympic Games 2016,21,,"Andressa de Morais (BRA, 21 Dec 1990)",Brazil,,25-239,57.38
16-Aug-2016,Athletics Discus Throw Women - Olympic Games 2016,31,,"Fernanda Martins (BRA, 26 Jul 1988)",Brazil,,28-021,51.85
16-Aug-2016,Athletics High Jump Men - Olympic Games 2016,35,,"Talles Frederico Silva (BRA, 20 Aug 1991)",Brazil,,24-362,2.17
16-Aug-2016,Boxing Lightweight Men - Olympic Games 2016,1,G,"Robson Conceição (BRA, 25 Oct 1988)",Brazil,,27-296,
16-Aug-2016,Canoe Sprint C1 1000m Men - Olympic Games 2016,2,S,"Isaquias Queiroz Dos Santos (BRA, 03 Jan 1994)",Brazil,,22-226,3:58.529
16-Aug-2016,Canoe Sprint K1 200m Women - Olympic Games 2016,23,,"Ana Paula Vergutz (BRA, 20 Apr 1989)",Brazil,,27-118,44.362
16-Aug-2016,Diving 3m Springboard Men - Olympic Games 2016,9,,"César Castro (BRA, 02 Sep 1982)",Brazil,,33-349,436.00
16-Aug-2016,Gymnastics - Artistic Floor Exercise Women - Olympic Games 2016,19,,"Flávia Saraiva (BRA, 30 Sep 1999)",Brazil,,16-321,14.033
16-Aug-2016,Gymnastics - Artistic Floor Exercise Women - Olympic Games 2016,20,,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,17-100,14.033
16-Aug-2016,Gymnastics - Artistic Floor Exercise Women - Olympic Games 2016,30,,"Jade Barbosa (BRA, 01 Jul 1991)",Brazil,,25-046,13.733
16-Aug-2016,Gymnastics - Artistic Floor Exercise Women - Olympic Games 2016,73,,"Daniele Hypólito (BRA, 08 Sep 1984)",Brazil,,31-343,12.400
16-Aug-2016,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2016,5,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,26-290,15.208
16-Aug-2016,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2016,16,,"Sergio Sasaki (BRA, 31 Mar 1992)",Brazil,,24-138,14.833
16-Aug-2016,Gymnastics - Artistic Horizontal Bar Men - Olympic Games 2016,20,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,22-333,14.766
16-Aug-2016,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2016,29,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,22-333,14.933
16-Aug-2016,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2016,31,,"Sergio Sasaki (BRA, 31 Mar 1992)",Brazil,,24-138,14.933
16-Aug-2016,Gymnastics - Artistic Parallel Bars Men - Olympic Games 2016,33,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,26-290,14.900
16-Aug-2016,Open Water Swimming 10km Men - Olympic Games 2016,18,,"Allan Do Carmo (BRA, 03 Aug 1989)",Brazil,,27-013,1:53:16.4
16-Aug-2016,Sailing Finn Men - Olympic Games 2016,4,,"Jorge Zarif (BRA, 30 Sep 1992)",Brazil,,23-321,87
16-Aug-2016,Sailing Laser Men - Olympic Games 2016,4,,"Robert Scheidt (BRA, 15 Apr 1973)",Brazil,,43-123,89
16-Aug-2016,Sailing Laser Radial Women - Olympic Games 2016,24,,"Fernanda Decnop (BRA, 19 Jun 1987)",Brazil,,29-058,163
16-Aug-2016,Sailing Nacra 17 Mixed - Olympic Games 2016,10,,Albrecht / Swan,Brazil,,33-311,117
16-Aug-2016,Table Tennis Team Women - Olympic Games 2016,9,,Brazil,Brazil,,20-001,
15-Aug-2016,Athletics 400m Women - Olympic Games 2016,24,,"Geisa Coutinho (BRA, 01 Jun 1980)",Brazil,,36-075,52.05
15-Aug-2016,Athletics 400m Women - Olympic Games 2016,35,,"Jailma de Lima (BRA, 31 Dec 1986)",Brazil,,29-228,52.65
15-Aug-2016,Athletics 800m Men - Olympic Games 2016,19,,"Kleberson Davide (BRA, 20 Jul 1985)",Brazil,,31-026,1:46.19
15-Aug-2016,Athletics 800m Men - Olympic Games 2016,36,,"Lutimar Paes (BRA, 14 Dec 1988)",Brazil,,27-245,1:48.38
15-Aug-2016,Athletics 3000m Steeplechase Women - Olympic Games 2016,37,,"Juliana Paula dos Santos (BRA, 12 Jul 1983)",Brazil,,33-034,9:45.95
15-Aug-2016,Athletics Pole Vault Men - Olympic Games 2016,1,G,"Thiago Braz (BRA, 16 Dec 1993)",Brazil,,22-243,6.03
15-Aug-2016,Athletics Pole Vault Men - Olympic Games 2016,22,,"Augusto Dutra (BRA, 16 Jul 1990)",Brazil,,26-030,5.45
15-Aug-2016,Boxing Heavyweight Men - Olympic Games 2016,9,,"Juan Goncalves Nogueira (BRA, 01 May 1988)",Brazil,,28-106,
15-Aug-2016,Cycling - Track Omnium Men - Olympic Games 2016,13,,"Gideoni Monteiro (BRA, 02 Sep 1989)",Brazil,,26-348,94
15-Aug-2016,Equestrian - Dressage Individual Open - Olympic Games 2016,46,,Marcari Oliva (Xama Dos Pinhais),Brazil,,20-195,68.071
15-Aug-2016,Equestrian - Dressage Individual Open - Olympic Games 2016,47,,Prado Pass (Zingaro de Lyw),Brazil,,18-138,67.700
15-Aug-2016,Equestrian - Dressage Individual Open - Olympic Games 2016,49,,Tavares de Almeida (Vendaval 4),Brazil,,24-343,66.914
15-Aug-2016,Equestrian - Dressage Individual Open - Olympic Games 2016,53,,Tavares De Almeida (Xaparro Do Vouga),Brazil,,22-248,65.714
15-Aug-2016,Gymnastics - Artistic Beam Women - Olympic Games 2016,5,,"Flávia Saraiva (BRA, 30 Sep 1999)",Brazil,,16-320,14.533
15-Aug-2016,Gymnastics - Artistic Beam Women - Olympic Games 2016,19,,"Daniele Hypólito (BRA, 08 Sep 1984)",Brazil,,31-342,14.266
15-Aug-2016,Gymnastics - Artistic Beam Women - Olympic Games 2016,22,,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,17-099,14.200
15-Aug-2016,Gymnastics - Artistic Beam Women - Olympic Games 2016,42,,"Jade Barbosa (BRA, 01 Jul 1991)",Brazil,,25-045,13.600
15-Aug-2016,Gymnastics - Artistic Rings Men - Olympic Games 2016,2,S,"Arthur Zanetti (BRA, 16 Apr 1990)",Brazil,,26-121,15.766
15-Aug-2016,Gymnastics - Artistic Rings Men - Olympic Games 2016,37,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,26-289,14.200
15-Aug-2016,Gymnastics - Artistic Rings Men - Olympic Games 2016,43,,"Sergio Sasaki (BRA, 31 Mar 1992)",Brazil,,24-137,14.133
15-Aug-2016,Gymnastics - Artistic Rings Men - Olympic Games 2016,46,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,22-332,14.033
15-Aug-2016,Gymnastics - Artistic Vault Men - Olympic Games 2016,9,,"Sergio Sasaki (BRA, 31 Mar 1992)",Brazil,,24-137,15.016
15-Aug-2016,Open Water Swimming 10km Women - Olympic Games 2016,3,B,"Poliana Okimoto (BRA, 08 Mar 1983)",Brazil,,33-160,1:56:51.4
15-Aug-2016,Open Water Swimming 10km Women - Olympic Games 2016,10,,"Ana Marcela Cunha (BRA, 23 Mar 1992)",Brazil,,24-145,1:57:29.0
15-Aug-2016,Wrestling - Greco-Roman 130kg Men - Olympic Games 2016,16,,"Eduard Soghomonyan (BRA, 19 Feb 1990)",Brazil,,26-178,
14-Aug-2016,Athletics 100m Men - Olympic Games 2016,48,,"Vítor Hugo Dos Santos (BRA, 01 Feb 1996)",Brazil,,20-195,10.36
14-Aug-2016,Athletics 400m Men - Olympic Games 2016,41,,"Hederson Estefani (BRA, 11 Sep 1991)",Brazil,,24-338,46.68
14-Aug-2016,Athletics Marathon Women - Olympic Games 2016,69,,"Adriana Aparecida Da Silva (BRA, 22 Jul 1981)",Brazil,,35-023,2:43:22
14-Aug-2016,Athletics Marathon Women - Olympic Games 2016,78,,"Marily Dos Santos (BRA, 05 Feb 1978)",Brazil,,38-191,2:45:08
14-Aug-2016,Athletics Marathon Women - Olympic Games 2016,128,,"Graciete Carneiro Santana (BRA, 12 Sep 1980)",Brazil,,35-337,3:09:15
14-Aug-2016,Athletics Triple Jump Women - Olympic Games 2016,23,,"Nubia Soares (BRA, 26 Mar 1996)",Brazil,,20-141,13.85
14-Aug-2016,Athletics Triple Jump Women - Olympic Games 2016,24,,"Keila Costa (BRA, 06 Feb 1983)",Brazil,,33-190,13.78
14-Aug-2016,Diving 3m Springboard Women - Olympic Games 2016,27,,"Juliana Veloso (BRA, 22 Dec 1980)",Brazil,,35-236,240.90
14-Aug-2016,Fencing Team Epee Men - Olympic Games 2016,9,,Brazil,Brazil,,23-339,
14-Aug-2016,Golf Individual Men - Olympic Games 2016,39,,"Adilson Da Silva (BRA, 24 Jan 1972)",Brazil,,44-203,1
14-Aug-2016,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2016,2,S,"Diego Hypólito (BRA, 19 Jun 1986)",Brazil,,30-056,15.533
14-Aug-2016,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2016,3,B,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,22-331,15.433
14-Aug-2016,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2016,20,,"Sergio Sasaki (BRA, 31 Mar 1992)",Brazil,,24-136,14.900
14-Aug-2016,Gymnastics - Artistic Floor Exercise Men - Olympic Games 2016,59,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,26-288,13.433
14-Aug-2016,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2016,17,,"Sergio Sasaki (BRA, 31 Mar 1992)",Brazil,,24-136,14.833
14-Aug-2016,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2016,22,,"Francisco Barretto (BRA, 31 Oct 1989)",Brazil,,26-288,14.533
14-Aug-2016,Gymnastics - Artistic Pommel Horse Men - Olympic Games 2016,27,,"Arthur Mariano (BRA, 18 Sep 1993)",Brazil,,22-331,14.433
14-Aug-2016,Gymnastics - Artistic Uneven Bars Women - Olympic Games 2016,15,,"Rebeca Andrade (BRA, 08 May 1999)",Brazil,,17-098,14.933
14-Aug-2016,Gymnastics - Artistic Uneven Bars Women - Olympic Games 2016,35,,"Jade Barbosa (BRA, 01 Jul 1991)",Brazil,,25-044,14.266
